,qualtrics_id,word_count,bigram_count,trigram_count,combination_ratio,content_word_count,content_word_ratio,median_SUBTLEX_freq,log_min_SUBTLEX_freq,SES.ycoord,political_scale,political_interest,schooling_level,age,ttr,Highspin_successes,Lowspin_successes,Highspin_trials,Lowspin_trials,Span_trials,Span_successes
0,R_0B3sd6PDs4u4JNf,11.8,10.8,9.8,0.7973470732808122,6.844444444444444,0.5985048123939266,1960.7246187363835,2.2252317478954002,425.0,3.0,3.0,6.0,26.0,0.4425612052730697,6.0,6.0,25.0,25.0,27.0,19.0
1,R_0IJZKTzkc4l0c1z,13.633802816901408,12.633802816901408,11.633802816901408,0.83024939404112,7.563380281690141,0.55395398697726,2481.2352941176473,1.545182272157636,,,,,,0.3378099173553719,10.0,4.0,25.0,25.0,42.0,26.5
3,R_10GYpyC9cgdCuFA,46.46666666666667,45.46666666666667,44.46666666666667,0.9237999755860956,26.666666666666668,0.5798408519418835,2765.552287581699,2.110952314963043,345.0,5.0,5.0,2.0,40.0,0.35437589670014347,12.0,5.0,25.0,25.0,15.0,10.5
5,R_116O2rIm4DqX1I2,71.28571428571429,70.28571428571429,69.28571428571429,0.9710283628348997,49.42857142857143,0.6986815710304626,243.38375350140058,-0.1434379126852749,985.0,3.0,1.0,2.0,26.0,0.4348697394789579,22.0,8.0,25.0,25.0,6.0,3.0
10,R_12EjT7RxOQCHSTh,101.125,100.125,99.125,0.9753136914173661,58.625,0.5835281400916837,3340.692401960784,-1.0104142781563346,,,,,,0.2941903584672435,16.0,6.0,25.0,25.0,15.0,8.0
11,R_12gzPjj9bAK9XJd,18.775,17.775,16.775,0.8745524247679223,10.25,0.5613474476060732,1905.2473039215686,1.0748018972281261,511.0,2.0,5.0,3.0,20.0,0.36617842876165113,20.0,8.0,25.0,25.0,42.0,30.0
15,R_1CrQvou1DAGNE1h,17.45098039215686,16.45098039215686,15.450980392156863,0.859679554144227,9.490196078431373,0.5599104152982102,1926.2454825067282,0.9749913583704475,883.0,2.0,2.0,3.0,25.0,0.34831460674157305,19.0,5.0,25.0,24.0,42.0,25.0
16,R_1DFGaL0j7cI1tKT,22.107142857142858,21.107142857142858,20.107142857142858,0.8922221042945726,11.785714285714286,0.5358890655766887,2548.5045518207285,1.382067895382989,303.0,3.0,7.0,5.0,21.0,0.3473344103392569,18.0,10.0,25.0,25.0,27.0,17.0
18,R_1DIHC6dyBkpuJBc,61.77777777777778,60.77777777777778,59.77777777777778,0.9142781927091919,39.333333333333336,0.602263643932271,2095.8779956427015,0.7795886664236463,773.0,3.0,5.0,3.0,48.0,0.5233812949640287,15.0,4.0,24.0,24.0,15.0,9.0
20,R_1E6H3sHaR2dvgQ3,16.482142857142858,15.482142857142858,14.482142857142858,0.8504826205665993,8.660714285714286,0.5334860308824527,2812.9903711484594,1.543136218391297,409.0,3.0,6.0,3.0,19.0,0.3206933911159263,14.0,8.0,25.0,24.0,27.0,19.0
22,R_1FJp4SRV8ni6s81,14.347826086956522,13.347826086956522,12.347826086956522,0.8396198215194716,7.934782608695652,0.567963852826553,1759.2843137254902,0.9251108152150284,854.0,1.0,6.0,3.0,22.0,0.39090909090909093,18.0,7.0,25.0,25.0,15.0,10.0
23,R_1FdUkppqI4tBNLj,13.12,12.12,11.12,0.8084569510528832,7.38,0.5577194973780869,3222.9115686274513,2.252128378328521,252.0,2.0,3.0,3.0,19.0,0.3673780487804878,16.0,7.0,25.0,25.0,42.0,29.0
28,R_1HcmEHH8Wbm4YLS,16.37142857142857,15.371428571428572,14.371428571428572,0.8535214079088471,9.428571428571429,0.5873002195602814,2205.572549019608,1.6590418016046231,862.0,1.0,1.0,3.0,29.0,0.40663176265270506,16.0,7.0,25.0,25.0,27.0,21.0
29,R_1HnlapH83U0K7M1,16.484375,15.484375,14.484375,0.7866872545491027,9.703125,0.6008077989610445,2039.7863051470588,0.541175131425794,681.0,4.0,3.0,5.0,24.0,0.4085308056872038,16.0,5.0,25.0,25.0,15.0,10.0
31,R_1JFUgNdDjXzAIlS,17.625,16.625,15.625,0.8516435541385055,9.458333333333334,0.5575087206275513,2041.5216503267975,0.3669965450408812,513.0,3.0,5.0,3.0,19.0,0.375886524822695,17.0,7.0,25.0,24.0,81.0,71.0
32,R_1JVkMpdmDHoYHbY,22.129032258064516,21.129032258064516,20.129032258064516,0.7753532547893199,12.612903225806452,0.5911899921799711,3582.452561669829,1.7403986156274427,660.0,3.0,4.0,5.0,53.0,0.36151603498542273,13.0,5.0,24.0,25.0,15.0,8.0
33,R_1K6GPsRugok2SaK,13.886363636363637,12.886363636363637,11.886363636363637,0.8067711606368227,7.909090909090909,0.5969809461548639,2925.9382798573974,1.3528990633686948,770.0,5.0,6.0,3.0,58.0,0.3698854337152209,10.0,3.0,22.0,23.0,15.0,5.0
34,R_1LFsKHfiSyONu3s,17.4375,16.4375,15.4375,0.8648788539269874,9.28125,0.5385215780285563,2456.4387254901962,1.3322537058761594,424.0,2.0,3.0,5.0,19.0,0.3888888888888889,6.0,3.0,25.0,25.0,42.0,33.0
35,R_1LHyL9GDafqPSFn,21.551724137931036,20.551724137931036,19.551724137931036,0.8752275038969423,11.275862068965518,0.5377213496081183,1648.9110885733605,1.5909655521702668,515.0,2.0,6.0,7.0,65.0,0.3888,16.0,4.0,25.0,24.0,15.0,10.5
37,R_1LSGsIiksBoXywR,13.295454545454545,12.295454545454545,11.295454545454545,0.8118398102429203,7.9772727272727275,0.6129843690997997,1896.9249108734402,1.3973574380895941,509.0,5.0,3.0,2.0,19.0,0.38974358974358975,13.0,4.0,25.0,25.0,27.0,18.5
38,R_1LTCXNMHzqCiCac,21.346153846153847,20.346153846153847,19.346153846153847,0.8472799722773611,13.692307692307692,0.6266769837507702,3775.876319758673,0.2682806435959017,466.0,1.0,1.0,3.0,32.0,0.5351351351351351,16.0,8.0,25.0,25.0,6.0,3.0
40,R_1LZtMjog4i7Lijg,11.745454545454546,10.745454545454546,9.745454545454546,0.7948380411677408,6.5636363636363635,0.5652577211319924,2609.3183600713014,2.5096331778013483,494.0,2.0,5.0,5.0,55.0,0.33436532507739936,4.0,0.0,25.0,23.0,81.0,69.0
41,R_1LcwSx99uLZgvsn,14.36697247706422,13.36697247706422,12.36697247706422,0.8256061719632359,7.587155963302752,0.5352256955365604,1851.945673682317,0.6474993720934552,299.0,1.0,6.0,3.0,21.0,0.289272030651341,20.0,10.0,25.0,25.0,15.0,11.0
44,R_1Ny2bPGg49RRVI2,15.743589743589743,14.743589743589743,13.743589743589743,0.8434766231222935,8.897435897435898,0.5693707799566738,2689.0927601809954,0.8948000158116978,493.0,3.0,3.0,2.0,20.0,0.40390879478827363,15.0,6.0,25.0,25.0,27.0,18.0
50,R_1Q4bHcdNzviptbH,22.392857142857142,21.392857142857142,20.392857142857142,0.8923477484474079,11.535714285714286,0.5292409890175428,1173.9933473389356,0.3521194492292203,766.0,2.0,5.0,3.0,26.0,0.38915470494417864,13.0,3.0,25.0,25.0,42.0,29.0
51,R_1Q5aHdXnt1iI0Fu,25.96,24.96,23.96,0.8460571473606698,15.12,0.5934350253589846,3284.4792156862745,1.2579168999422816,616.0,1.0,4.0,3.0,19.0,0.43143297380585516,15.0,5.0,25.0,25.0,81.0,64.0
52,R_1QEhnkTxo1t2QMP,18.242424242424242,17.242424242424242,16.242424242424242,0.8764702853371237,10.030303030303031,0.5552542749581648,1754.6622103386808,0.9093399642965511,571.0,4.0,2.0,2.0,20.0,0.43023255813953487,19.0,4.0,25.0,25.0,27.0,17.0
55,R_1QLy7eVBqzRzNIZ,15.204545454545455,14.204545454545455,13.204545454545455,0.8298383276639055,8.045454545454545,0.5337393581366765,2876.1980837789665,1.9226234841901055,339.0,5.0,3.0,3.0,21.0,0.3183856502242152,21.0,9.0,25.0,25.0,27.0,22.0
57,R_1QowIoH2xhz72Co,10.12962962962963,9.12962962962963,8.12962962962963,0.7668063456247152,5.666666666666667,0.5850907143347803,2474.668845315904,1.7104697052524624,457.0,3.0,5.0,3.0,22.0,0.3583180987202925,17.0,11.0,25.0,25.0,42.0,34.0
70,R_1f13lvLiFOnuAgl,21.115384615384617,20.115384615384617,19.115384615384617,0.8829823382105016,11.23076923076923,0.5250685915894483,1189.6493212669684,0.21029092376814237,509.0,3.0,1.0,5.0,24.0,0.4134790528233151,13.0,7.0,25.0,25.0,27.0,21.0
71,R_1f18PJOY1vRnJXM,21.11111111111111,20.11111111111111,19.11111111111111,0.7667626645955375,11.907407407407407,0.6024836387314488,2388.677559912854,0.27423036025758196,479.0,4.0,3.0,3.0,53.0,0.33596491228070174,11.0,1.0,24.0,24.0,15.0,7.0
72,R_1f3fAqVFq1KEcKJ,17.657894736842106,16.657894736842106,15.657894736842104,0.8622180613911101,9.289473684210526,0.5182803766761727,2479.999484004128,1.0555740011168535,625.0,4.0,4.0,6.0,39.0,0.3651266766020864,16.0,7.0,25.0,25.0,27.0,20.5
73,R_1f3jQQqQgIlYAJj,16.804878048780488,15.804878048780488,14.804878048780488,0.8507833767296836,9.463414634146341,0.5757836946227776,1496.9500239120036,0.717012514902089,260.0,2.0,2.0,3.0,20.0,0.45863570391872277,18.0,7.0,25.0,25.0,27.0,20.0
74,R_1gUWQkUujfWGLLT,16.31578947368421,15.31578947368421,14.31578947368421,0.8506021711256353,8.947368421052632,0.5503019162549471,1503.935758513932,0.2624095850602963,339.0,1.0,5.0,3.0,19.0,0.4306451612903226,19.0,9.0,25.0,25.0,42.0,30.0
75,R_1ghZRXm56atQkXo,17.023255813953487,16.023255813953487,15.023255813953488,0.8528091439513156,9.0,0.5431705331284534,2459.1165070679435,1.3051423193345406,515.0,1.0,2.0,2.0,20.0,0.3155737704918033,16.0,3.0,25.0,25.0,42.0,29.0
78,R_1i4lEWREe8n47KD,18.3125,17.3125,16.3125,0.8444236170866606,10.65625,0.616418650355471,3340.8553921568628,1.7483718050100185,260.0,3.0,3.0,5.0,21.0,0.4453924914675768,15.0,9.0,25.0,25.0,27.0,23.0
80,R_1ikaivHGKQwAw3B,25.47826086956522,24.47826086956522,23.47826086956522,0.8189577264931751,14.826086956521738,0.5738128382418048,2826.6939471440746,1.3025350484319491,603.0,3.0,3.0,3.0,52.0,0.4778156996587031,15.0,3.0,25.0,25.0,27.0,19.0
82,R_1jPNkb3tlHH7iSf,13.924528301886792,12.924528301886792,11.924528301886792,0.8193254809603024,7.547169811320755,0.541893841808309,3619.96781354051,1.1357639375085402,340.0,2.0,2.0,5.0,21.0,0.3509485094850949,15.0,3.0,25.0,25.0,42.0,34.0
83,R_1jk5O8PQyyRE8Ti,17.129032258064516,16.129032258064516,15.129032258064516,0.8723853821986901,9.096774193548388,0.5275677420327962,2104.318785578748,1.0958438632902334,398.0,6.0,4.0,3.0,20.0,0.4293785310734463,19.0,10.0,24.0,25.0,42.0,29.0
85,R_1kHQbngQXAHf5jG,20.966666666666665,19.966666666666665,18.966666666666665,0.8574879484267005,13.033333333333333,0.6390441388672558,1347.7601307189543,0.3526346470307015,405.0,2.0,1.0,3.0,26.0,0.5421303656597775,11.0,7.0,25.0,25.0,27.0,16.0
87,R_1kIGeKtX1c3Czwy,11.220338983050848,10.220338983050848,9.220338983050848,0.7323706005584284,6.4576271186440675,0.5979930270888917,2297.8130608175475,2.082788574366214,429.0,6.0,5.0,6.0,26.0,0.3595166163141994,3.0,1.0,25.0,25.0,15.0,9.5
88,R_1kIvZ7spm5KdrEu,14.175,13.175,12.175,0.8454099791677191,7.7,0.5456065775899368,2900.7519607843137,1.2333086073826345,297.0,3.0,3.0,3.0,21.0,0.3439153439153439,12.0,7.0,25.0,25.0,15.0,11.0
91,R_1ln1CHry0pqi6lx,90.14285714285714,89.14285714285714,88.14285714285714,0.9773280816388971,51.857142857142854,0.5729083216614771,1669.5266106442577,-0.6605847147817346,971.0,2.0,1.0,1.0,33.0,0.48177496038034867,15.0,8.0,25.0,25.0,15.0,8.0
93,R_1mO5pMGnUKxxqBB,15.95,14.95,13.95,0.8509480921808941,8.825,0.5641126469078228,2183.3323529411764,0.9778578989219577,331.0,1.0,6.0,5.0,21.0,0.3683385579937304,18.0,7.0,25.0,25.0,15.0,11.0
97,R_1o24Vj10WtiiI02,10.363636363636363,9.363636363636363,8.363636363636363,0.7794331749236055,5.515151515151516,0.5373083772067025,4008.590166369578,2.3337596138013494,453.0,3.0,5.0,3.0,21.0,0.2894736842105263,18.0,5.0,25.0,25.0,42.0,28.0
99,R_1pQjc4RwVRiCaA9,15.783783783783784,14.783783783783784,13.783783783783784,0.8412370186475047,8.513513513513514,0.5446017812993517,3806.454425013248,1.886226497758884,677.0,3.0,2.0,5.0,23.0,0.351027397260274,4.0,2.0,25.0,25.0,15.0,11.5
100,R_1pXudiUbWxAhomJ,16.75,15.75,14.75,0.8567680409093658,8.863636363636363,0.5460825782037875,1891.7457664884134,1.3141794537455442,324.0,2.0,5.0,5.0,21.0,0.3405698778833107,17.0,8.0,25.0,25.0,42.0,25.0
102,R_1pnUtZqZP26tfDx,13.409090909090908,12.409090909090908,11.409090909090908,0.7844162862397606,7.7727272727272725,0.5765301306605196,2095.7885472370767,1.1109786904739603,684.0,3.0,6.0,3.0,23.0,0.4322033898305085,15.0,9.0,25.0,25.0,27.0,20.0
106,R_1qfyC67q9Dm6mdw,17.324324324324323,16.324324324324323,15.324324324324325,0.8714867482615497,9.864864864864865,0.5770001583321007,1701.453630100689,0.766907507131815,252.0,4.0,2.0,2.0,20.0,0.4290171606864275,16.0,7.0,25.0,25.0,27.0,21.0
108,R_1r8EdJHYYojDjMh,19.806451612903224,18.806451612903224,17.806451612903224,0.8865691107541859,10.903225806451612,0.557098654370944,1487.6236559139786,0.0424850586351108,469.0,3.0,1.0,2.0,20.0,0.4723127035830619,16.0,7.0,25.0,25.0,15.0,9.5
110,R_1rqMZ60pcSEgbML,22.166666666666668,21.166666666666668,20.166666666666668,0.8376411183573461,12.88888888888889,0.5888783089270344,2162.526960784314,0.7668295636169805,763.0,2.0,3.0,2.0,23.0,0.4398496240601504,12.0,6.0,24.0,25.0,27.0,16.5
112,R_20Z3XwKWhtzscZn,20.29032258064516,19.29032258064516,18.29032258064516,0.8898981548675785,10.483870967741936,0.5180782598855309,1460.566413662239,-0.16466315759351147,285.0,3.0,2.0,3.0,18.0,0.40381558028616854,18.0,8.0,25.0,25.0,42.0,32.5
113,R_21GMwVqzbvgnfOX,27.64,26.64,25.64,0.9166685022098657,14.72,0.5391392944367497,1433.0192156862745,-0.025455737630891907,,,,,,0.4442836468885673,19.0,9.0,25.0,25.0,27.0,17.0
118,R_240BwySE8YGO6gi,13.868421052631579,12.868421052631579,11.868421052631579,0.8334490179854365,7.815789473684211,0.5642602333890829,1356.249742002064,0.9216378829783876,409.0,2.0,3.0,5.0,22.0,0.4364326375711575,10.0,4.0,25.0,25.0,27.0,17.0
122,R_24uZevWxnrYO9XI,25.428571428571427,24.428571428571427,23.428571428571427,0.9020553574809078,13.857142857142858,0.5437485936990437,1254.891223155929,0.5568304364160735,389.0,3.0,3.0,2.0,24.0,0.4250936329588015,19.0,7.0,25.0,25.0,15.0,10.5
126,R_25zrTCaduKThL54,16.743589743589745,15.743589743589743,14.743589743589743,0.8547903640638261,9.538461538461538,0.5913344154623034,2075.277777777778,0.17564957116532298,469.0,1.0,7.0,5.0,20.0,0.4241960183767228,16.0,6.0,25.0,25.0,27.0,23.5
127,R_262QpQOd7gom9lm,14.711538461538462,13.711538461538462,12.711538461538462,0.8249691033170372,8.288461538461538,0.5753290832923145,2095.8644419306183,1.2006228180932799,665.0,2.0,2.0,5.0,24.0,0.35947712418300654,13.0,3.0,25.0,25.0,60.0,49.5
129,R_26eydOz7HWjvSR6,27.869565217391305,26.869565217391305,25.869565217391305,0.8935074022729685,16.043478260869566,0.5637937050903419,4046.4262574595055,0.5040450185713407,827.0,2.0,1.0,1.0,38.0,0.45085803432137284,10.0,2.0,25.0,25.0,27.0,18.5
130,R_27UbKCa2OxwFm0S,27.40909090909091,26.40909090909091,25.40909090909091,0.8736523647023865,14.272727272727273,0.5192098995005062,2587.5779857397506,0.5563642697390461,,,,,,0.45439469320066334,15.0,8.0,24.0,23.0,27.0,19.0
135,R_28RHQtGK0hq2dvx,15.179487179487179,14.179487179487179,13.179487179487179,0.8518221350566526,8.64102564102564,0.561949042417477,2693.5613373554547,1.58548779591394,161.0,4.0,1.0,3.0,25.0,0.4527027027027027,11.0,3.0,25.0,25.0,6.0,3.0
138,R_29hS8k1jQP4PFsZ,83.71428571428571,82.71428571428571,81.71428571428571,0.9753826270735904,52.0,0.613908938142303,2689.3053221288515,-0.9662604074286936,,,,,,0.4522184300341297,19.0,2.0,25.0,25.0,27.0,16.0
142,R_2BkE5jebQcOMaeA,76.75,75.75,74.75,0.9693910164704664,54.125,0.7218600167524197,475.07843137254906,0.13823803389064573,425.0,6.0,4.0,2.0,37.0,0.4609120521172638,10.0,2.0,25.0,25.0,15.0,7.0
143,R_2BnfGrLj9A3UVtF,14.395348837209303,13.395348837209303,12.395348837209303,0.8247186241365244,8.116279069767442,0.5902718340416143,1640.5720474236207,1.5243101743621046,547.0,3.0,2.0,7.0,31.0,0.4168012924071082,11.0,5.0,25.0,25.0,27.0,22.0
145,R_2CQIiZ3eiD9r4cV,13.159090909090908,12.159090909090908,11.159090909090908,0.8156521125308065,7.295454545454546,0.55867976380501,2854.7419786096257,1.3874891106691871,416.0,3.0,5.0,4.0,26.0,0.40241796200345425,15.0,5.0,25.0,25.0,27.0,19.0
146,R_2CUM34WpI4RxFDz,15.026315789473685,14.026315789473685,13.026315789473685,0.8475350708205064,8.289473684210526,0.5638228712591009,1978.5717234262127,1.2313577100294688,425.0,3.0,3.0,3.0,19.0,0.4220665499124343,16.0,8.0,25.0,25.0,27.0,15.5
147,R_2Ck0Hv6ec9x0c9P,13.648148148148149,12.648148148148149,11.648148148148149,0.773292517825579,7.666666666666667,0.5986072340407267,2834.160130718954,1.3922512350914145,562.0,4.0,2.0,5.0,51.0,0.33649932157394846,12.0,3.0,25.0,24.0,27.0,19.0
150,R_2EBt7YqYXsY0kXp,12.0,11.0,10.0,0.794223882606976,7.1066666666666665,0.6062613019163026,2518.657647058824,2.1204524341289743,166.0,4.0,7.0,2.0,55.0,0.4066666666666667,15.0,5.0,24.0,24.0,27.0,15.0
151,R_2Eaa8QgmL5YUswx,18.266666666666666,17.266666666666666,16.266666666666666,0.8703452833311643,10.433333333333334,0.5673334269592832,1459.55522875817,0.8636867835970946,523.0,3.0,5.0,2.0,19.0,0.4489051094890511,14.0,10.0,25.0,25.0,42.0,36.0
152,R_2Ev0qUaKMxfNHa4,16.285714285714285,15.285714285714286,14.285714285714286,0.851729025773147,8.914285714285715,0.556314371903795,2384.1095238095236,1.1627695845822776,499.0,4.0,2.0,3.0,19.0,0.43508771929824563,19.0,9.0,25.0,25.0,27.0,20.0
